<0.0000e+00 0.0000e+00>
<1300885.727124777 2326237.2480583396>
<1300393.7604276787 2334067.8499346883>
<1299881.5492885583 2341887.186140646>
<1299349.2518069795 2349695.1011263006>
<1298797.0275659403 2357491.441597248>
<1298225.037596809 2365276.056531886>
<1297633.4443440589 2373048.797198149>
<1297022.4116298058 2380809.5171696865>
<1296392.1046181598 2388558.0723414863>
<1295742.6897793948 2396294.3209449393>
<1295074.3348539441 2404018.123562342>
<1294387.2088162317 2411729.3431408447>
<1293681.4818383409 2419427.845005834>
<1292957.325253533 2427113.496873757>
<1292214.9115196185 2434786.1688643796>
<1291454.414182191 2442445.733512486>
<1290676.0078377274 2450092.0657790084>
<1289879.868096565 2457725.0430615963>
<1289066.1715457577 2465344.545204615>
<1288235.0957118238 2472950.4545085807>
<1287386.8190233854 2480542.6557390234>
<1286521.5207737123 2488121.0361347836>
<1285639.381083173 2495685.4854157376>
<1284740.5808616022 2503235.8957899497>
<1283825.301770589 2510772.161960253>
<1282893.7261856955 2518294.1811302565>
<1281946.0371586094 2525801.8530097767>
<1280982.418379241 2533295.0798196928>
<1280003.0541377675 2540773.7662962247>
<1279008.1292866357 2548237.819694632>
<1277997.8292025256 2555687.1497923336>
<1276972.3397482866 2563121.668891444>
<1275931.8472348494 2570541.29182073>
<1274876.5383831225 2577945.9359369827>
<1273806.6002858814 2585335.5211258004>
<1272722.2203696556 2592709.969801791>
<1271623.5863566226 2600069.206908182>
<1270510.8862265158 2607413.159915841>
<1269384.308178553 2614741.7588217105>
<1268244.0405933948 2622054.936146644>
<1267090.2719951395 2629352.626932653>
<1265923.191013363 2636634.7687395583>
<1264742.9863452103 2643901.301641045>
<1263549.8467175497 2651152.1682201205>
<1262343.9608491939 2658387.313563973>
<1261125.5174132008 2665606.685258233>
<1259894.7049992585 2672810.2333806297>
<1258651.7120761655 2679997.9104940495>
<1257396.7269544147 2687169.67163899>
<1256129.9377488897 2694325.4743254073>
<1254851.5323416812 2701465.2785239643>
<1253561.6983450358 2708589.0466566673>
<1252260.6230644442 2715696.7435868997>
<1250948.4934618785 2722788.3366088467>
