<2.2790e+11 0.0000e+00>
<1.2867472017985655E11 1.8752460370825168E11>
<1.2817554077727208E11 1.8786423705001254E11>
<1.2767545784154951E11 1.8820254611008984E11>
<1.2717447487905322E11 1.8853952847590256E11>
<1.2667259540263606E11 1.888751817441168E11>
<1.2616982293161522E11 1.8920950352066345E11>
<1.2566616099174794E11 1.8954249142075592E11>
<1.2516161311520728E11 1.8987414306890753E11>
<1.2465618284055772E11 1.902044560989492E11>
<1.2414987371273085E11 1.905334281540467E11>
<1.2364268928300085E11 1.9086105688671823E11>
<1.2313463310896007E11 1.9118733995885162E11>
<1.2262570875449445E11 1.915122750417216E11>
<1.2211591978975897E11 1.9183585981600696E11>
<1.2160526979115302E11 1.921580919718078E11>
<1.2109376234129567E11 1.9247896920866248E11>
<1.2058140102900102E11 1.927984892355646E11>
<1.2006818944925339E11 1.9311664977098007E11>
<1.1955413120318245E11 1.9343344854286386E11>
<1.1903922989803845E11 1.9374888328867685E11>
<1.1852348914716722E11 1.9406295175540262E11>
<1.1800691256998523E11 1.9437565169956403E11>
<1.1748950379195459E11 1.9468698088724E11>
<1.1697126644455798E11 1.9499693709408185E11>
<1.1645220416527356E11 1.9530551810533E11>
<1.1593232059754979E11 1.9561272171583023E11>
<1.1541161939078026E11 1.9591854573005014E11>
<1.1489010420027843E11 1.962229879620954E11>
<1.1436777868725235E11 1.9652604623572598E11>
<1.1384464651877933E11 1.9682771838437234E11>
<1.1332071136778052E11 1.971280022511515E11>
<1.1279597691299554E11 1.9742689568888306E11>
<1.1227044683895699E11 1.9772439656010522E11>
<1.1174412483596486E11 1.9802050273709064E11>
<1.112170146000611E11 1.9831521210186227E11>
<1.106891198330039E11 1.9860852254620914E11>
<1.1016044424224211E11 1.9890043197170206E11>
<1.096309915408895E11 1.9919093828970923E11>
<1.0910076544769902E11 1.9948003942141183E11>
<1.0856976968703705E11 1.9976773329781958E11>
<1.0803800798885754E11 2.0005401785978604E11>
<1.0750548408867618E11 2.0033889105802408E11>
<1.0697220172754439E11 2.0062235085312115E11>
<1.0643816465202348E11 2.0090439521555457E11>
<1.0590337661415857E11 2.011850221257066E11>
<1.0536784137145256E11 2.014642295738796E11>
<1.0483156268684006E11 2.0174201556031104E11>
<1.0429454432866121E11 2.0201837809518848E11>
<1.0375679007063559E11 2.0229331519866446E11>
<1.032183036918359E11 2.025668249008713E11>
<1.0267908897666182E11 2.0283890524193597E11>
<1.0213914971481357E11 2.031095542719946E11>
<1.0159848970126567E11 2.033787700512072E11>
<1.0105711273624054E11 2.0364655064977234E11>
<1.0051502262518204E11 2.0391289414794135E11>
<9.997222317872903E10 2.04177798636033E11>
<9.942871821268886E10 2.0444126221444766E11>
<9.888451154801077E10 2.0470328299368176E11>
<9.83396070107594E10 2.0496385909434186E11>
<9.779400843208806E10 2.0522298864715878E11>
<9.724771964821211E10 2.054806697930018E11>
<9.670074450038225E10 2.0573690068289255E11>
<9.615308683485771E10 2.0599167947801892E11>
<9.560475050287953E10 2.0624500434974908E11>
<9.505573936064369E10 2.0649687347964508E11>
<9.450605726927425E10 2.0674728505947668E11>
<9.39557080947964E10 2.0699623729123502E11>
<9.34046957081096E10 2.0724372838714606E11>
<9.285302398496048E10 2.074897565696843E11>
<9.230069680591588E10 2.0773432007158603E11>
<9.174771805633577E10 2.079774171358628E11>
<9.119409162634613E10 2.0821904601581467E11>
<9.063982141081181E10 2.084592049750435E11>
<9.008491130930936E10 2.0869789228746603E11>
<8.952936522609978E10 2.0893510623732703E11>
<8.89731870701013E10 2.0917084511921225E11>
<8.841638075486206E10 2.094051072380614E11>
<8.785895019853278E10 2.0963789090918106E11>
<8.730089932383936E10 2.0986919445825735E11>
<8.674223205805551E10 2.100990162213688E11>
<8.618295233297533E10 2.1032735454499896E11>
<8.562306408488574E10 2.105542077860489E11>
<8.506257125453906E10 2.1077957431184982E11>
<8.450147778712537E10 2.1100345250017548E11>
<8.393978763224495E10 2.112258407392545E11>
<8.337750474388069E10 2.1144673742778268E11>
<8.281463308037038E10 2.116661409749353E11>
<8.225117660437901E10 2.1188404980037915E11>
<8.16871392828711E10 2.121004623342847E11>
<8.11225250870828E10 2.12315377017338E11>
<8.055733799249423E10 2.1252879230075278E11>
<7.999158197880157E10 2.1274070664628204E11>
<7.942526102988919E10 2.129511185262301E11>
<7.885837913380173E10 2.1316002642346417E11>
<7.829094028271617E10 2.1336742883142603E11>
<7.772294847291388E10 2.1357332425414352E11>
<7.715440770475255E10 2.1377771120624216E11>
<7.65853219826382E10 2.1398058821295642E11>
<7.601569531499707E10 2.1418195381014117E11>
<7.544553171424753E10 2.1438180654428293E11>
<7.48748351967719E10 2.14580144972511E11>
<7.430360978288832E10 2.147769676626086E11>
<7.37318594968225E10 2.1497227319302402E11>
<7.315958836667949E10 2.151660601528814E11>
